stage,batch,target,book,chapter,reference,survived,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,source_summary
chapter_confirmation_l40,01,chapter_deu_09,Deuteronomy,9,Deuteronomy 9,no,0.4,0.35,-0.05,0.425,0.425,6 chg / -2 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_deu_16,Deuteronomy,16,Deuteronomy 16,yes,0.4,0.425,0.025,0.4,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_jdg_07,Judges,7,Judges 7,yes,0.4,0.425,0.025,0.375,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_jdg_09,Judges,9,Judges 9,yes,0.4,0.425,0.025,0.4,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_num_08,Numbers,8,Numbers 8,no,0.4,0.35,-0.05,0.4,0.4,6 chg / -2 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_num_09,Numbers,9,Numbers 9,no,0.4,0.375,-0.025,0.4,0.4,5 chg / -1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_num_11,Numbers,11,Numbers 11,yes,0.4,0.425,0.025,0.4,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_num_22,Numbers,22,Numbers 22,yes,0.4,0.425,0.025,0.375,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_num_27,Numbers,27,Numbers 27,yes,0.4,0.425,0.025,0.375,0.375,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
chapter_confirmation_l40,01,chapter_num_31,Numbers,31,Numbers 31,no,0.4,0.375,-0.025,0.4,0.425,5 chg / -1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch01_v1_summary.json
