target,book,chapter,reference,L24_a016,L24_a024,L24_a032,L24_a048,L24_a064,L24_a096,L28_a016,L28_a024,L28_a032,L28_a048,L28_a064,L28_a096,L29_a016,L29_a024,L29_a032,L29_a048,L29_a064,L29_a096,L30_a016,L30_a024,L30_a032,L30_a048,L30_a064,L30_a096,L31_a016,L31_a024,L31_a032,L31_a048,L31_a064,L31_a096,L32_a016,L32_a024,L32_a032,L32_a048,L32_a064,L32_a096,L33_a016,L33_a024,L33_a032,L33_a048,L33_a064,L33_a096,L36_a032
chapter_act_11,Acts,11,Acts 11,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0
chapter_act_07,Acts,7,Acts 7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
chapter_act_16,Acts,16,Acts 16,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
chapter_act_27,Acts,27,Acts 27,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
chapter_heb_02,Hebrews,2,Hebrews 2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
chapter_num_27,Numbers,27,Numbers 27,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
chapter_num_11,Numbers,11,Numbers 11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
chapter_heb_09,Hebrews,9,Hebrews 9,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
chapter_jdg_07,Judges,7,Judges 7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
chapter_heb_07,Hebrews,7,Hebrews 7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
chapter_jdg_09,Judges,9,Judges 9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
chapter_heb_10,Hebrews,10,Hebrews 10,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
chapter_num_22,Numbers,22,Numbers 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
