target,book,chapter,reference,center_layer,alpha,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,paired_rescue
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,24,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,24,16,0.4,0.6,0.2,0.3,0.5,2 chg / +2 net,yes
chapter_act_07,Acts,7,Acts 7,24,16,0.4,0.5,0.1,0.3,0.5,1 chg / +1 net,no
chapter_act_11,Acts,11,Acts 11,24,16,0.4,0.5,0.1,0.3,0.5,3 chg / +1 net,no
chapter_act_16,Acts,16,Acts 16,24,16,0.4,0.5,0.1,0.3,0.5,1 chg / +1 net,no
chapter_act_27,Acts,27,Acts 27,24,16,0.4,0.5,0.1,0.4,0.5,1 chg / +1 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,24,16,0.4,0.4,0,0.3,0.5,0 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,24,16,0.4,0.5,0.1,0.4,0.5,1 chg / +1 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,24,16,0.4,0.4,0,0.4,0.5,0 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,24,16,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,24,16,0.4,0.5,0.1,0.3,0.5,1 chg / +1 net,no
chapter_jdg_07,Judges,7,Judges 7,24,16,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,24,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,24,16,0.4,0.5,0.1,0.3,0.5,1 chg / +1 net,no
chapter_num_22,Numbers,22,Numbers 22,24,16,0.4,0.5,0.1,0.5,0.5,1 chg / +1 net,no
chapter_num_27,Numbers,27,Numbers 27,24,16,0.4,0.4,0,0.4,0.6,0 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,24,24,0.4,0.4,0,0.5,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,24,24,0.4,0.6,0.2,0.4,0.6,2 chg / +2 net,no
