target,reference,survived,slice_n,control_accuracy,positive_accuracy,negative_accuracy,null_accuracy,paired_field,b_wrong_to_right,c_right_to_wrong,discordant_pairs,p_value_two_sided,p_value_one_sided,p_bh_fdr_adjusted,p_bonferroni_adjusted
book_1sa,1 Samuel,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_deu,Deuteronomy,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_jdg,Judges,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_num,Numbers,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_1ch,1 Chronicles,,10,0.4,0.5,0.3,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_2ki,2 Kings,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
book_neh,Nehemiah,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_sng,Song of Solomon,,10,0.4,0.5,0.3,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_amo,Amos,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_hos,Hosea,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
book_lam,Lamentations,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
book_act,Acts,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_hab,Habakkuk,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_jhn,John,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_luk,Luke,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_mrk,Mark,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_nam,Nahum,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
book_heb,Hebrews,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
book_rev,Revelation,,10,0.4,0.5,0.3,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
