target,reference,survived,slice_n,control_accuracy,positive_accuracy,negative_accuracy,null_accuracy,paired_field,b_wrong_to_right,c_right_to_wrong,discordant_pairs,p_value_two_sided,p_value_one_sided,p_bh_fdr_adjusted,p_bonferroni_adjusted
chapter_deu_09,Deuteronomy 9,no,40,0.4,0.35,0.425,0.425,6 chg / -2 net,2,4,6,0.687500,0.890625,1.000000,1.000000
chapter_deu_16,Deuteronomy 16,yes,40,0.4,0.425,0.4,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_jdg_07,Judges 7,yes,40,0.4,0.425,0.375,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_jdg_09,Judges 9,yes,40,0.4,0.425,0.4,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_08,Numbers 8,no,40,0.4,0.35,0.4,0.4,6 chg / -2 net,2,4,6,0.687500,0.890625,1.000000,1.000000
chapter_num_09,Numbers 9,no,40,0.4,0.375,0.4,0.4,5 chg / -1 net,2,3,5,1.000000,0.812500,1.000000,1.000000
chapter_num_11,Numbers 11,yes,40,0.4,0.425,0.4,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_22,Numbers 22,yes,40,0.4,0.425,0.375,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_27,Numbers 27,yes,40,0.4,0.425,0.375,0.375,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_31,Numbers 31,no,40,0.4,0.375,0.4,0.425,5 chg / -1 net,2,3,5,1.000000,0.812500,1.000000,1.000000
chapter_1ch_03,1 Chronicles 3,no,40,0.4,0.35,0.425,0.4,6 chg / -2 net,2,4,6,0.687500,0.890625,1.000000,1.000000
chapter_1ch_09,1 Chronicles 9,yes,40,0.4,0.425,0.35,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_1ch_13,1 Chronicles 13,no,40,0.4,0.4,0.375,0.35,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_1ch_29,1 Chronicles 29,yes,40,0.4,0.425,0.4,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_01,Acts 1,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_02,Acts 2,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_amo_02,Amos 2,no,40,0.4,0.4,0.4,0.35,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_amo_03,Amos 3,no,40,0.4,0.35,0.4,0.375,6 chg / -2 net,2,4,6,0.687500,0.890625,1.000000,1.000000
chapter_amo_07,Amos 7,no,40,0.4,0.35,0.4,0.35,6 chg / -2 net,2,4,6,0.687500,0.890625,1.000000,1.000000
chapter_jdg_15,Judges 15,no,40,0.4,0.4,0.4,0.375,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_03,Acts 3,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_04,Acts 4,no,40,0.4,0.4,0.4,0.4,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_06,Acts 6,no,40,0.4,0.4,0.375,0.4,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_07,Acts 7,yes,40,0.4,0.425,0.375,0.35,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_08,Acts 8,no,40,0.4,0.4,0.375,0.4,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_10,Acts 10,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_11,Acts 11,yes,40,0.4,0.425,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_14,Acts 14,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_16,Acts 16,yes,40,0.4,0.425,0.375,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_24,Acts 24,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_act_27,Acts 27,yes,40,0.4,0.425,0.375,0.375,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_28,Acts 28,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_heb_01,Hebrews 1,no,40,0.4,0.4,0.4,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_heb_02,Hebrews 2,yes,40,0.4,0.45,0.4,0.425,2 chg / +2 net,2,0,2,0.500000,0.250000,1.000000,1.000000
chapter_heb_05,Hebrews 5,no,40,0.4,0.4,0.425,0.425,2 chg / +0 net,1,1,2,1.000000,0.750000,1.000000,1.000000
chapter_heb_07,Hebrews 7,yes,40,0.4,0.425,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_heb_09,Hebrews 9,yes,40,0.4,0.425,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_heb_10,Hebrews 10,yes,40,0.4,0.425,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
