center_layer,alpha,rows,paired_rescues,rescue_proportion,ci_lower,ci_upper,mean_positive_delta
30,96,16,13,0.8125,0.5435,0.9595,0.0875
31,96,16,12,0.7500,0.4762,0.9273,0.0812
31,48,16,11,0.6875,0.4134,0.8898,0.0687
32,32,16,11,0.6875,0.4134,0.8898,0.0687
28,16,16,11,0.6875,0.4134,0.8898,0.0625
30,64,16,11,0.6875,0.4134,0.8898,0.0625
24,32,16,9,0.5625,0.2988,0.8025,0.1687
31,64,16,9,0.5625,0.2988,0.8025,0.0562
33,96,16,9,0.5625,0.2988,0.8025,0.0562
29,96,16,7,0.4375,0.1975,0.7012,0.0812
32,64,16,7,0.4375,0.1975,0.7012,0.0500
29,24,16,7,0.4375,0.1975,0.7012,0.0437
30,32,16,7,0.4375,0.1975,0.7012,0.0437
30,48,16,7,0.4375,0.1975,0.7012,0.0437
31,24,16,7,0.4375,0.1975,0.7012,0.0437
31,32,16,7,0.4375,0.1975,0.7012,0.0437
32,48,16,7,0.4375,0.1975,0.7012,0.0437
33,48,16,7,0.4375,0.1975,0.7012,0.0437
28,24,16,7,0.4375,0.1975,0.7012,0.0437
32,96,16,6,0.3750,0.1520,0.6457,0.0625
29,32,16,6,0.3750,0.1520,0.6457,0.0375
29,48,16,6,0.3750,0.1520,0.6457,0.0375
30,24,16,6,0.3750,0.1520,0.6457,0.0375
33,64,16,6,0.3750,0.1520,0.6457,0.0375
28,32,16,6,0.3750,0.1520,0.6457,0.0312
29,64,16,6,0.3750,0.1520,0.6457,0.0187
29,16,16,5,0.3125,0.1102,0.5866,0.0312
30,16,16,5,0.3125,0.1102,0.5866,0.0312
31,16,16,5,0.3125,0.1102,0.5866,0.0312
28,64,16,5,0.3125,0.1102,0.5866,0.0250
28,48,16,4,0.2500,0.0727,0.5238,0.0187
32,24,16,3,0.1875,0.0405,0.4565,0.0187
28,96,16,3,0.1875,0.0405,0.4565,-0.1000
24,24,16,2,0.1250,0.0155,0.3835,0.0875
24,16,16,2,0.1250,0.0155,0.3835,0.0687
33,32,16,2,0.1250,0.0155,0.3835,0.0125
32,16,16,0,0.0000,0.0000,0.2059,0.0000
33,16,16,0,0.0000,0.0000,0.2059,0.0000
33,24,16,0,0.0000,0.0000,0.2059,0.0000
36,32,16,0,0.0000,0.0000,0.2059,0.0000
24,48,16,0,0.0000,0.0000,0.2059,-0.1750
24,64,16,0,0.0000,0.0000,0.2059,-0.4000
24,96,16,0,0.0000,0.0000,0.2059,-0.4000
