stage,batch,target,book,chapter,reference,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,source_summary
chapter_discovery_l10,01,chapter_num_08,Numbers,8,Numbers 8,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch01_skip03_v2_summary.json
chapter_discovery_l10,01,chapter_num_09,Numbers,9,Numbers 9,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch01_skip03_v2_summary.json
chapter_discovery_l10,02,chapter_num_11,Numbers,11,Numbers 11,0.4,0.5,0.1,0.4,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch02_v1_summary.json
chapter_discovery_l10,03,chapter_num_22,Numbers,22,Numbers 22,0.4,0.5,0.1,0.3,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch03_v1_summary.json
chapter_discovery_l10,03,chapter_num_27,Numbers,27,Numbers 27,0.4,0.5,0.1,0.3,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch03_v1_summary.json
chapter_discovery_l10,04,chapter_num_31,Numbers,31,Numbers 31,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch04_v1_summary.json
chapter_discovery_l10,05,chapter_deu_09,Deuteronomy,9,Deuteronomy 9,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch05_v1_summary.json
chapter_discovery_l10,06,chapter_deu_16,Deuteronomy,16,Deuteronomy 16,0.4,0.5,0.1,0.4,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch06_v1_summary.json
chapter_discovery_l10,08,chapter_jdg_07,Judges,7,Judges 7,0.4,0.5,0.1,0.3,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch08_v1_summary.json
chapter_discovery_l10,08,chapter_jdg_09,Judges,9,Judges 9,0.4,0.5,0.1,0.4,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch08_v1_summary.json
chapter_discovery_l10,09,chapter_jdg_15,Judges,15,Judges 15,0.4,0.5,0.1,0.4,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch09_v1_summary.json
chapter_discovery_l10,10,chapter_1ch_03,1 Chronicles,3,1 Chronicles 3,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch10_v1_summary.json
chapter_discovery_l10,10,chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,0.4,0.5,0.1,0.3,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch10_v1_summary.json
chapter_discovery_l10,11,chapter_1ch_13,1 Chronicles,13,1 Chronicles 13,0.4,0.5,0.1,0.3,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch11_v1_summary.json
chapter_discovery_l10,12,chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,0.4,0.5,0.1,0.4,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch12_v1_summary.json
chapter_discovery_l10,13,chapter_act_01,Acts,1,Acts 1,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch13_v1_summary.json
chapter_discovery_l10,13,chapter_amo_02,Amos,2,Amos 2,0.4,0.5,0.1,0.4,0.3,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch13_v1_summary.json
