center_layer,alpha,rows,accuracy_rescues,paired_rescues,mean_positive_delta,rescued_targets
30,96,16,13,13,0.0875,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_27;chapter_deu_16;chapter_heb_02;chapter_heb_07;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
31,96,16,12,12,0.0812,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_16;chapter_act_27;chapter_deu_16;chapter_heb_10;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_27
31,48,16,11,11,0.0687,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_16;chapter_deu_16;chapter_heb_02;chapter_heb_09;chapter_num_11;chapter_num_22;chapter_num_27
32,32,16,11,11,0.0687,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_27;chapter_deu_16;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
28,16,16,11,11,0.0625,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10;chapter_jdg_07;chapter_jdg_09
30,64,16,11,11,0.0625,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_deu_16;chapter_heb_02;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
24,32,16,9,9,0.1687,chapter_1ch_09;chapter_1ch_29;chapter_act_11;chapter_act_16;chapter_heb_02;chapter_heb_07;chapter_heb_10;chapter_jdg_07;chapter_jdg_09
31,64,16,9,9,0.0562,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_deu_16;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
33,96,16,9,9,0.0562,chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_deu_16;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
29,96,16,7,7,0.0812,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_16;chapter_num_11;chapter_num_27
32,64,16,7,7,0.05,chapter_act_07;chapter_deu_16;chapter_heb_02;chapter_heb_10;chapter_num_11;chapter_num_22;chapter_num_27
29,24,16,7,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
30,32,16,7,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
30,48,16,7,7,0.0437,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_deu_16;chapter_heb_09;chapter_num_11;chapter_num_27
31,24,16,7,7,0.0437,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09
31,32,16,7,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
32,48,16,7,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
33,48,16,7,7,0.0437,chapter_1ch_09;chapter_1ch_29;chapter_act_11;chapter_act_16;chapter_act_27;chapter_jdg_07;chapter_num_22
28,24,16,7,7,0.0437,chapter_1ch_09;chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_10;chapter_jdg_07;chapter_num_27
32,96,16,6,6,0.0625,chapter_1ch_09;chapter_1ch_29;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_27
29,32,16,6,6,0.0375,chapter_act_11;chapter_act_16;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
29,48,16,6,6,0.0375,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_16;chapter_num_11;chapter_num_27
30,24,16,6,6,0.0375,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09
33,64,16,6,6,0.0375,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09
28,32,16,6,6,0.0312,chapter_1ch_09;chapter_1ch_29;chapter_act_11;chapter_act_16;chapter_act_27;chapter_num_27
29,64,16,6,6,0.0187,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_16;chapter_num_11;chapter_num_27
29,16,16,5,5,0.0312,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_09
30,16,16,5,5,0.0312,chapter_act_07;chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02
31,16,16,5,5,0.0312,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_jdg_07;chapter_jdg_09
28,64,16,5,5,0.025,chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_27;chapter_num_11
