center_layer,alpha,status,paired_rescues,mean_positive_delta,rescued_targets
24,16,completed,2,0.0687,chapter_1ch_29;chapter_heb_09
24,24,completed,2,0.0875,chapter_heb_02;chapter_jdg_09
24,32,completed,9,0.1687,chapter_1ch_09;chapter_1ch_29;chapter_act_11;chapter_act_16;chapter_heb_02;chapter_heb_07;chapter_heb_10;chapter_jdg_07;chapter_jdg_09
24,48,completed,0,-0.175,
24,64,completed,0,-0.4,
24,96,completed,0,-0.4,
28,16,completed,11,0.0625,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10;chapter_jdg_07;chapter_jdg_09
28,24,completed,7,0.0437,chapter_1ch_09;chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_10;chapter_jdg_07;chapter_num_27
28,32,completed,6,0.0312,chapter_1ch_09;chapter_1ch_29;chapter_act_11;chapter_act_16;chapter_act_27;chapter_num_27
28,48,completed,4,0.0187,chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_num_11
28,64,completed,5,0.025,chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_27;chapter_num_11
28,96,completed,3,-0.1,chapter_1ch_09;chapter_act_27;chapter_num_27
29,16,completed,5,0.0312,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_09
29,24,completed,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
29,32,completed,6,0.0375,chapter_act_11;chapter_act_16;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
29,48,completed,6,0.0375,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_16;chapter_num_11;chapter_num_27
29,64,completed,6,0.0187,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_16;chapter_num_11;chapter_num_27
29,96,completed,7,0.0812,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_16;chapter_num_11;chapter_num_27
30,16,completed,5,0.0312,chapter_act_07;chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02
30,24,completed,6,0.0375,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09
30,32,completed,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
30,48,completed,7,0.0437,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_deu_16;chapter_heb_09;chapter_num_11;chapter_num_27
30,64,completed,11,0.0625,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_deu_16;chapter_heb_02;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
30,96,completed,13,0.0875,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_27;chapter_deu_16;chapter_heb_02;chapter_heb_07;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
31,16,completed,5,0.0312,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_jdg_07;chapter_jdg_09
31,24,completed,7,0.0437,chapter_1ch_09;chapter_act_07;chapter_act_11;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09
31,32,completed,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
31,48,completed,11,0.0687,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_16;chapter_deu_16;chapter_heb_02;chapter_heb_09;chapter_num_11;chapter_num_22;chapter_num_27
31,64,completed,9,0.0562,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_deu_16;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
31,96,completed,12,0.0812,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_16;chapter_act_27;chapter_deu_16;chapter_heb_10;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_27
32,16,completed,0,0,
32,24,completed,3,0.0187,chapter_act_07;chapter_deu_16;chapter_jdg_07
32,32,completed,11,0.0687,chapter_1ch_09;chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_act_27;chapter_deu_16;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
32,48,completed,7,0.0437,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09;chapter_heb_10
32,64,completed,7,0.05,chapter_act_07;chapter_deu_16;chapter_heb_02;chapter_heb_10;chapter_num_11;chapter_num_22;chapter_num_27
32,96,completed,6,0.0625,chapter_1ch_09;chapter_1ch_29;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_27
33,16,completed,0,0,
33,24,completed,0,0,
33,32,completed,2,0.0125,chapter_act_07;chapter_act_11
33,48,completed,7,0.0437,chapter_1ch_09;chapter_1ch_29;chapter_act_11;chapter_act_16;chapter_act_27;chapter_jdg_07;chapter_num_22
33,64,completed,6,0.0375,chapter_act_11;chapter_act_16;chapter_act_27;chapter_heb_02;chapter_heb_07;chapter_heb_09
33,96,completed,9,0.0562,chapter_1ch_29;chapter_act_07;chapter_act_11;chapter_deu_16;chapter_jdg_07;chapter_jdg_09;chapter_num_11;chapter_num_22;chapter_num_27
36,32,completed,0,0,
