target,reference,survived,slice_n,control_accuracy,positive_accuracy,negative_accuracy,null_accuracy,paired_field,b_wrong_to_right,c_right_to_wrong,discordant_pairs,p_value_two_sided,p_value_one_sided,p_bh_fdr_adjusted,p_bonferroni_adjusted
chapter_num_08,Numbers 8,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_num_09,Numbers 9,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_num_11,Numbers 11,,10,0.4,0.5,0.4,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_22,Numbers 22,,10,0.4,0.5,0.3,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_27,Numbers 27,,10,0.4,0.5,0.3,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_num_31,Numbers 31,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_deu_09,Deuteronomy 9,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_deu_16,Deuteronomy 16,,10,0.4,0.5,0.4,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_jdg_07,Judges 7,,10,0.4,0.5,0.3,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_jdg_09,Judges 9,,10,0.4,0.5,0.4,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_jdg_15,Judges 15,,10,0.4,0.5,0.4,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_1ch_03,1 Chronicles 3,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_1ch_09,1 Chronicles 9,,10,0.4,0.5,0.3,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_1ch_13,1 Chronicles 13,,10,0.4,0.5,0.3,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_1ch_29,1 Chronicles 29,,10,0.4,0.5,0.4,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_01,Acts 1,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_amo_02,Amos 2,,10,0.4,0.5,0.4,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_amo_03,Amos 3,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_amo_07,Amos 7,,10,0.4,0.5,0.4,0.4,3 chg / +1 net,2,1,3,1.000000,0.500000,1.000000,1.000000
chapter_act_02,Acts 2,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_03,Acts 3,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_04,Acts 4,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_06,Acts 6,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_07,Acts 7,,10,0.4,0.5,0.3,0.3,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_08,Acts 8,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_10,Acts 10,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_11,Acts 11,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_14,Acts 14,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_16,Acts 16,,10,0.4,0.5,0.3,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_24,Acts 24,,10,0.4,0.5,0.4,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
chapter_act_27,Acts 27,,10,0.4,0.5,0.3,0.4,1 chg / +1 net,1,0,1,1.000000,0.500000,1.000000,1.000000
