target,positive_correct_items_10_39,control_correct_items_10_39,difference,survived
chapter_deu_09,9,12,-3,no
chapter_deu_16,12,12,0,yes
chapter_jdg_07,12,12,0,yes
chapter_jdg_09,12,12,0,yes
chapter_num_08,9,12,-3,no
chapter_num_09,10,12,-2,no
chapter_num_11,12,12,0,yes
chapter_num_22,12,12,0,yes
chapter_num_27,12,12,0,yes
chapter_num_31,10,12,-2,no
chapter_1ch_03,9,12,-3,no
chapter_1ch_09,12,12,0,yes
chapter_1ch_13,11,12,-1,no
chapter_1ch_29,12,12,0,yes
chapter_act_01,11,12,-1,no
chapter_act_02,11,12,-1,no
chapter_amo_02,11,12,-1,no
chapter_amo_03,9,12,-3,no
chapter_amo_07,9,12,-3,no
chapter_jdg_15,11,12,-1,no
chapter_act_03,11,12,-1,no
chapter_act_04,11,12,-1,no
chapter_act_06,11,12,-1,no
chapter_act_07,12,12,0,yes
chapter_act_08,11,12,-1,no
chapter_act_10,11,12,-1,no
chapter_act_11,12,12,0,yes
chapter_act_14,11,12,-1,no
chapter_act_16,12,12,0,yes
chapter_act_24,11,12,-1,no
chapter_act_27,12,12,0,yes
chapter_act_28,11,12,-1,no
chapter_heb_01,11,12,-1,no
chapter_heb_02,13,12,1,yes
chapter_heb_05,11,12,-1,no
chapter_heb_07,12,12,0,yes
chapter_heb_09,12,12,0,yes
chapter_heb_10,12,12,0,yes
